FORMAT:           OCCAM2MTDATA_1.0
TITLE:            MTpy-OccamDatafile, Profile=90.1 deg, Strike=0.1 deg
SITES:            13
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
   GEO
OFFSETS (M):      
   0.0
   0.0
   14.3
   43.3
   76.7
   78.6
   89.4
   90.1
   116.8
   127.5
   130.4
   132.1
   333.9
FREQUENCIES:      10
   1.000000e-03
   4.641589e-03
   2.154435e-02
   1.000000e-01
   4.641589e-01
   2.154435e+00
   1.000000e+01
   4.641589e+01
   2.154435e+02
   1.000000e+03
DATA BLOCKS:      318
SITE  FREQ  TYPE   DATUM    ERROR   
  1     8     1      3.3684   0.0434
  1     8     2     26.2333   2.8660
  1     8     3      0.1539   0.1000
  1     8     4      0.1598   0.1000
  1     8     5      2.6460   0.0434
  1     8     6     31.8432   2.8660
  1     9     1      3.1192   0.0434
  1     9     2     28.0128   2.8660
  1     9     3      0.2865   0.1000
  1     9     4      0.0175   0.1000
  1     9     5      2.4189   0.0434
  1     9     6     25.3943   2.8660
  1     10    1      2.7892   0.0434
  1     10    2     21.0253   2.8660
  1     10    3      0.0490   0.1000
  1     10    4     -0.0597   0.1000
  1     10    5      2.2526   0.0434
  1     10    6     38.4682   2.8660
  2     2     1      4.1474   0.1432
  2     2     2     45.6589   9.4907
  2     2     3     20.0351   0.1000
  2     2     4    -49.2334   0.1000
  2     2     5      3.9497   0.2307
  2     2     6     63.4180  15.4003
  2     3     1      4.0846   0.1478
  2     3     2     41.0004   9.7940
  2     3     3      3.9044   0.1000
  2     3     4     -1.2509   0.1000
  2     3     5      4.1392   0.1142
  2     3     6     33.8645   7.5569
  2     4     1      4.5483   0.0434
  2     4     2     28.5063   2.8660
  2     4     3      1.2073   0.1000
  2     4     4     32.5850   0.1000
  2     4     5      3.9113   0.0492
  2     4     6     17.0331   3.2446
  2     5     1      3.9030   0.0473
  2     5     2     34.9054   3.1187
  2     5     3    -45.6921   0.1000
  2     5     4    228.1669   0.1000
  2     5     5      3.4427   0.0516
  2     5     6     28.7631   3.4090
  2     6     1      3.4308   0.0434
  2     6     2     38.9972   2.8660
  2     6     3      1.7999   0.1000
  2     6     4      3.5457   0.1000
  2     6     5      2.7255   0.0434
  2     6     6     38.1921   2.8660
  2     7     1      3.3652   0.0434
  2     7     2     24.3435   2.8660
